id,code,desc_en,desc_ar
unit_1,2Z,Millivolt ( mV ),
unit_2,4K,Milliampere ( mA ),
unit_3,4O,Microfarad ( microF ),
unit_4,A87,Gigaohm ( GOhm ),
unit_5,A93,Gram/Cubic meter ( g/m3 ),
unit_6,A94,Gram/cubic centimeter ( g/cm3 ),
unit_7,AMP,Ampere ( A ),
unit_8,ANN,Years ( yr ),
unit_9,B22,Kiloampere ( kA ),
unit_10,B49,Kiloohm ( kOhm ),
unit_11,B75,Megohm ( MOhm ),
unit_12,B78,Megavolt ( MV ),
unit_13,B84,Microampere ( microA ),
unit_14,BAR,bar ( bar ),
unit_15,BBL,Barrel (oil 42 gal.),برميل
unit_16,BG,Bag ( Bag ),
unit_17,BO,Bottle ( Bt. ),
unit_18,BOX,Box,صندوق
unit_19,C10,Millifarad ( mF ),
unit_20,C39,Nanoampere ( nA ),
unit_21,C41,Nanofarad ( nF ),
unit_22,C45,Nanometer ( nm ),
unit_23,C62,Activity unit ( AU ),
unit_24,CA,Canister ( Can ),
unit_25,CMK,Square centimeter ( cm2 ),
unit_26,CMQ,Cubic centimeter ( cm3 ),
unit_27,CMT,Centimeter ( cm ),
unit_28,CS,Case ( Case ),
unit_29,CT,Carton ( Car ),
unit_30,CTL,Centiliter ( Cl ),
unit_31,D10,Siemens per meter ( S/m ),
unit_32,D33,Tesla ( D ),
unit_33,D41,Ton/Cubic meter ( t/m3 ),
unit_34,DAY,Days ( d ),
unit_35,DMT,Decimeter ( dm ),
unit_36,DRM,DRUM,أسطوانة
unit_37,EA,each (ST) ( ST ),
unit_38,FAR,Farad ( F ),
unit_39,FOT,Foot ( Foot ),
unit_40,FTK,Square foot ( ft2 ),
unit_41,FTQ,Cubic foot ( ft3 ),
unit_42,G42,Microsiemens per centimeter ( microS/cm ),
unit_43,GL,Gram/liter ( g/l ),
unit_44,GLL,gallon ( gal ),
unit_45,GM,Gram/square meter ( g/m2 ),
unit_46,GPT,Gallon per thousand,جالون/الف
unit_47,GRM,Gram ( g ),
unit_48,H63,Milligram/Square centimeter ( mg/cm2 ),
unit_49,HHP,Hydraulic Horse Power,قوة حصان هيدروليكي
unit_50,HLT,Hectoliter ( hl ),
unit_51,HTZ,Hertz (1/second) ( Hz ),
unit_52,HUR,Hours ( hrs ),
unit_53,IE,Number of Persons ( PRS ),
unit_54,INH,Inch ( “” ),
unit_55,INK,Square inch ( Inch2 ),
unit_56,IVL,Interval,فترة
unit_57,JOB,JOB,وظيفة
unit_58,KGM,Kilogram ( KG ),
unit_59,KHZ,Kilohertz ( kHz ),
unit_60,KMH,Kilometer/hour ( km/h ),
unit_61,KMK,Square kilometer ( km2 ),
unit_62,KMQ,Kilogram/cubic meter ( kg/m3 ),
unit_63,KMT,Kilometer ( km ),
unit_64,KSM,Kilogram/Square meter ( kg/m2 ),
unit_65,KVT,Kilovolt ( kV ),
unit_66,KWT,Kilowatt ( KW ),
unit_67,LB,pounds ,رطل
unit_68,LTR,Liter ( l ),
unit_69,LVL,Level,مستوي
unit_70,M,Meter ( m ),
unit_71,MAN,Man,رجل
unit_72,MAW,Megawatt ( VA ),
unit_73,MGM,Milligram ( mg ),
unit_74,MHZ,Megahertz ( MHz ),
unit_75,MIN,Minute ( min ),
unit_76,MMK,Square millimeter ( mm2 ),
unit_77,MMQ,Cubic millimeter ( mm3 ),
unit_78,MMT,Millimeter ( mm ),
unit_79,MON,Months ( Months ),
unit_80,MTK,Square meter ( m2 ),
unit_81,MTQ,Cubic meter ( m3 ),
unit_82,OHM,Ohm ( Ohm ),
unit_83,ONZ,Ounce ( oz ),
unit_84,PAL,Pascal ( Pa ),
unit_85,PF,Pallet ( PAL ),
unit_86,PK,Pack ( PAK ),
unit_87,PMP,pump,مضخة
unit_88,RUN,run,ركض
unit_89,SH,Shrink ( Shrink ),
unit_90,SK,Sack,كيس
unit_91,SMI,Mile ( mile ),
unit_92,ST,"Ton (short,2000 lb)","طن (قصير,2000)"
unit_93,TNE,Tonne ( t ),
unit_94,TON,Ton (metric),طن (متري)
unit_95,VLT,Volt ( V ),
unit_96,WEE,Weeks ( Weeks ),
unit_97,WTT,Watt ( W ),
unit_98,X03,Meter/Hour ( m/h ),
unit_99,YDQ,Cubic yard ( yd3 ),
unit_100,YRD,Yards ( yd ),
